No	TMNo	EnNo	Name	GMNo	Mode	DateTime
30546	1	38		1	30	2014-04-01 12:00:43
30547	1	52		1	30	2014-04-01 12:00:50
30548	1	37		1	30	2014-04-01 12:01:17
30549	1	23		1	30	2014-04-01 12:01:21
30550	1	43		1	30	2014-04-01 12:01:27
30551	1	45		1	30	2014-04-01 12:01:30
30552	1	6		1	30	2014-04-01 12:01:45
30553	1	67		1	30	2014-04-01 12:01:48
30554	1	61		1	30	2014-04-01 12:01:55
30555	1	48		1	30	2014-04-01 12:02:00
30556	1	63		1	30	2014-04-01 12:02:13
30557	1	17		1	30	2014-04-01 12:03:25
30558	1	71		1	30	2014-04-01 12:04:24
30559	1	30		1	30	2014-04-01 12:04:39
30560	1	72		1	30	2014-04-01 12:04:50
30561	1	53		1	30	2014-04-01 12:05:02
30562	1	69		1	30	2014-04-01 12:05:52
30563	1	2		1	30	2014-04-01 12:05:55
30564	1	10		1	30	2014-04-01 12:06:21
30565	1	58		1	30	2014-04-01 12:08:50
30566	1	60		1	30	2014-04-01 12:10:05
30567	1	64		1	30	2014-04-01 12:12:41
30568	1	21		1	30	2014-04-01 12:13:37
30569	1	19		1	30	2014-04-01 12:13:40
30570	1	18		1	30	2014-04-01 12:13:43
30571	1	55		1	30	2014-04-01 12:13:45
30572	1	24		1	30	2014-04-01 12:13:49
30573	1	49		1	30	2014-04-01 12:14:09
30574	1	9		1	30	2014-04-01 12:14:26
30575	1	33		1	30	2014-04-01 12:14:28
30576	1	14		1	30	2014-04-01 12:14:31
30577	1	59		1	30	2014-04-01 12:15:31
30578	1	68		1	30	2014-04-01 12:15:45
30579	1	70		1	30	2014-04-01 12:15:52
30580	1	54		1	30	2014-04-01 12:15:57
30581	1	4		1	30	2014-04-01 12:16:00
30582	1	12		1	30	2014-04-01 12:16:30
30583	1	35		1	30	2014-04-01 12:16:38
30584	1	7		1	30	2014-04-01 12:16:45
30585	1	41		1	30	2014-04-01 12:18:37
30586	1	3		1	30	2014-04-01 12:20:26
30587	1	73		1	30	2014-04-01 12:26:06
30588	1	65		1	30	2014-04-01 12:35:24
30589	1	61		1	30	2014-04-01 13:00:58
30590	1	14		1	30	2014-04-01 13:01:08
30591	1	18		1	30	2014-04-01 13:02:47
30592	1	9		1	30	2014-04-01 13:03:01
30593	1	5		1	30	2014-04-01 13:03:25
30594	1	67		1	30	2014-04-01 13:04:19
30595	1	17		1	30	2014-04-01 13:04:27
30596	1	69		1	30	2014-04-01 13:04:34
30597	1	52		1	30	2014-04-01 13:04:56
30598	1	12		1	30	2014-04-01 13:05:15
30599	1	70		1	30	2014-04-01 13:06:33
30600	1	3		1	30	2014-04-01 13:07:53
30601	1	45		1	30	2014-04-01 13:08:06
30602	1	21		1	30	2014-04-01 13:10:04
30603	1	7		1	30	2014-04-01 13:12:27
30604	1	58		1	30	2014-04-01 13:12:38
30605	1	60		1	30	2014-04-01 13:12:52
30606	1	53		1	30	2014-04-01 13:13:07
30607	1	59		1	30	2014-04-01 13:13:15
30608	1	49		1	30	2014-04-01 13:13:25
30609	1	48		1	30	2014-04-01 13:14:28
30610	1	20		1	30	2014-04-01 13:14:32
30611	1	71		1	30	2014-04-01 13:14:37
30612	1	68		1	30	2014-04-01 13:14:44
30613	1	33		1	30	2014-04-01 13:14:58
